Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
"1002840","Rudolfstetten-Friedlisberg","Rudolfstetten-Friedlisberg,Aargau,Switzerland","20126","CH","City",Active
"1002841","Rupperswil","Rupperswil,Aargau,Switzerland","20126","CH","City",Active
"1002842","Safenwil","Safenwil,Aargau,Switzerland","20126","CH","City",Active
"1002844","Siglistorf","Siglistorf,Aargau,Switzerland","20126","CH","City",Active
"1002845","Sins","Sins,Aargau,Switzerland","20126","CH","City",Active
"1002846","Spreitenbach","Spreitenbach,Aargau,Switzerland","20126","CH","City",Active
"1002847","Staufen","Staufen,Aargau,Switzerland","20126","CH","City",Active
"1002848","Stein","Stein,Aargau,Switzerland","20126","CH","City",Active
"1002849","Stetten","Stetten,Aargau,Switzerland","20126","CH","City",Active
"1002850","Suhr","Suhr,Aargau,Switzerland","20126","CH","City",Active
"1002852","Turgi","Turgi,Aargau,Switzerland","20126","CH","City",Active
"1002853","Unterentfelden","Unterentfelden,Aargau,Switzerland","20126","CH","City",Active
"1002854","Unterkulm","Unterkulm,Aargau,Switzerland","20126","CH","City",Active
"1002855","Villigen","Villigen,Aargau,Switzerland","20126","CH","City",Active
"1002856","Vordemwald","Vordemwald,Aargau,Switzerland","20126","CH","City",Active
"1002857","Wettingen","Wettingen,Aargau,Switzerland","20126","CH","City",Active
"1002858","Moriken-Wildegg","Moriken-Wildegg,Aargau,Switzerland","20126","CH","City",Active
"1002859","Windisch","Windisch,Aargau,Switzerland","20126","CH","City",Active
"1002860","Wohlen","Wohlen,Aargau,Switzerland","20126","CH","City",Active
"1002861","Wurenlos","Wurenlos,Aargau,Switzerland","20126","CH","City",Active
"1002862","Zofingen","Zofingen,Aargau,Switzerland","20126","CH","City",Active
"1002863","Zufikon","Zufikon,Aargau,Switzerland","20126","CH","City",Active
"1002864","Bad Zurzach","Bad Zurzach,Aargau,Switzerland","20126","CH","City",Active
"1002865","Appenzell District","Appenzell District,Appenzell Innerrhoden,Switzerland","20127","CH","City",Active
"1002866","Gais","Gais,Appenzell Ausserrhoden,Switzerland","20128","CH","City",Active
"1002867","Heiden","Heiden,Appenzell Ausserrhoden,Switzerland","20128","CH","City",Active
"1002868","Herisau","Herisau,Appenzell Ausserrhoden,Switzerland","20128","CH","City",Active
"1002869","Teufen","Teufen,Appenzell Ausserrhoden,Switzerland","20128","CH","City",Active
"1002870","Waldstatt","Waldstatt,Appenzell Ausserrhoden,Switzerland","20128","CH","City",Active
"1002871","Aarberg","Aarberg,Canton of Bern,Switzerland","20129","CH","City",Active
"1002872","Aarwangen","Aarwangen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002873","Amsoldingen","Amsoldingen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002874","Belp","Belp,Canton of Bern,Switzerland","20129","CH","City",Active
"1002875","Bern","Bern,Canton of Bern,Switzerland","20129","CH","City",Active
"1002876","Biel/Bienne","Biel/Bienne,Canton of Bern,Switzerland","20129","CH","City",Active
"1002877","Brienz","Brienz,Canton of Bern,Switzerland","20129","CH","City",Active
"1002879","Burgdorf","Burgdorf,Canton of Bern,Switzerland","20129","CH","City",Active
"1002880","Ersigen","Ersigen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002881","Farnern","Farnern,Canton of Bern,Switzerland","20129","CH","City",Active
"1002882","Grindelwald","Grindelwald,Canton of Bern,Switzerland","20129","CH","City",Active
"1002884","Muri bei Bern","Muri bei Bern,Canton of Bern,Switzerland","20129","CH","City",Active
"1002887","Kirchlindach","Kirchlindach,Canton of Bern,Switzerland","20129","CH","City",Active
"1002888","Herzogenbuchsee","Herzogenbuchsee,Canton of Bern,Switzerland","20129","CH","City",Active
"1002889","Hilterfingen","Hilterfingen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002890","Interlaken","Interlaken,Canton of Bern,Switzerland","20129","CH","City",Active
"1002891","Ipsach","Ipsach,Canton of Bern,Switzerland","20129","CH","City",Active
"1002892","Ittigen","Ittigen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002893","Jegenstorf","Jegenstorf,Canton of Bern,Switzerland","20129","CH","City",Active
"1002894","Kehrsatz","Kehrsatz,Canton of Bern,Switzerland","20129","CH","City",Active
"1002895","Kirchberg","Kirchberg,Canton of Bern,Switzerland","20129","CH","City",Active
"1002896","Konolfingen","Konolfingen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002897","Langenthal","Langenthal,Canton of Bern,Switzerland","20129","CH","City",Active
"1002898","Laufen","Laufen,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002900","Lignieres","Lignieres,Neuchatel,Switzerland","20138","CH","City",Active
"1002901","Lyss","Lyss,Canton of Bern,Switzerland","20129","CH","City",Active
"1002902","Lyssach","Lyssach,Canton of Bern,Switzerland","20129","CH","City",Active
"1002903","Madiswil","Madiswil,Canton of Bern,Switzerland","20129","CH","City",Active
"1002904","Malleray","Malleray,Canton of Bern,Switzerland","20129","CH","City",Active
"1002906","Meiringen","Meiringen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002907","Moosseedorf","Moosseedorf,Canton of Bern,Switzerland","20129","CH","City",Active
"1002908","Munsingen","Munsingen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002909","Murten","Murten,Fribourg,Switzerland","20132","CH","City",Active
"1002910","Nidau","Nidau,Canton of Bern,Switzerland","20129","CH","City",Active
"1002913","Oberhofen","Oberhofen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002916","Orpund","Orpund,Canton of Bern,Switzerland","20129","CH","City",Active
"1002917","Orvin","Orvin,Canton of Bern,Switzerland","20129","CH","City",Active
"1002918","Ostermundigen","Ostermundigen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002919","Pery","Pery,Canton of Bern,Switzerland","20129","CH","City",Active
"1002920","Pieterlen","Pieterlen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002921","Schlosswil","Schlosswil,Canton of Bern,Switzerland","20129","CH","City",Active
"1002922","Urtenen-Schonbuhl","Urtenen-Schonbuhl,Canton of Bern,Switzerland","20129","CH","City",Active
"1002923","Schwadernau","Schwadernau,Canton of Bern,Switzerland","20129","CH","City",Active
"1002924","Wahlern","Wahlern,Canton of Bern,Switzerland","20129","CH","City",Active
"1002925","Seedorf","Seedorf,Canton of Bern,Switzerland","20129","CH","City",Active
"1002926","Spiez","Spiez,Canton of Bern,Switzerland","20129","CH","City",Active
"1002927","St-Imier","St-Imier,Canton of Bern,Switzerland","20129","CH","City",Active
"1002928","Tavannes","Tavannes,Canton of Bern,Switzerland","20129","CH","City",Active
"1002930","Thun","Thun,Canton of Bern,Switzerland","20129","CH","City",Active
"1002931","Toffen","Toffen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002932","Tramelan","Tramelan,Canton of Bern,Switzerland","20129","CH","City",Active
"1002933","Trubschachen","Trubschachen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002934","Uetendorf","Uetendorf,Canton of Bern,Switzerland","20129","CH","City",Active
"1002935","Utzenstorf","Utzenstorf,Canton of Bern,Switzerland","20129","CH","City",Active
"1002939","Worb","Worb,Canton of Bern,Switzerland","20129","CH","City",Active
"1002940","Zollikofen","Zollikofen,Canton of Bern,Switzerland","20129","CH","City",Active
"1002941","Aesch","Aesch,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002942","Allschwil","Allschwil,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002943","Arlesheim","Arlesheim,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002944","Augst","Augst,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002945","Binningen","Binningen,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002946","Birsfelden","Birsfelden,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002947","Blauen","Blauen,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002948","Bockten","Bockten,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002950","Giebenach","Giebenach,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002951","Hersberg","Hersberg,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002952","Holstein","Holstein,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002953","Laufelfingen","Laufelfingen,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002954","Liesberg","Liesberg,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002955","Liestal","Liestal,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002956","Munchenstein","Munchenstein,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002957","Muttenz","Muttenz,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002958","Oberwil","Oberwil,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002959","Pratteln","Pratteln,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002960","Reinach","Reinach,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002961","Riehen","Riehen,Basel City,Switzerland","20131","CH","City",Active
"1002962","Sissach","Sissach,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002963","Waldenburg","Waldenburg,Basel-Landschaft,Switzerland","20130","CH","City",Active
"1002964","Basel","Basel,Basel City,Switzerland","20131","CH","City",Active
"1002965","Bettingen","Bettingen,Basel City,Switzerland","20131","CH","City",Active
"1002967","Charmey","Charmey,Fribourg,Switzerland","20132","CH","City",Active
"1002968","Chatel-Saint-Denis","Chatel-Saint-Denis,Fribourg,Switzerland","20132","CH","City",Active
"1002969","Dudingen","Dudingen,Fribourg,Switzerland","20132","CH","City",Active
"1002970","Wunnewil-Flamatt","Wunnewil-Flamatt,Fribourg,Switzerland","20132","CH","City",Active
"1002971","Fribourg","Fribourg,Fribourg,Switzerland","20132","CH","City",Active
"1002972","Givisiez","Givisiez,Fribourg,Switzerland","20132","CH","City",Active
"1002973","Granges-Paccot","Granges-Paccot,Fribourg,Switzerland","20132","CH","City",Active
"1002974","Marly","Marly,Fribourg,Switzerland","20132","CH","City",Active
"1002975","Matran","Matran,Fribourg,Switzerland","20132","CH","City",Active
"1002976","Neyruz","Neyruz,Fribourg,Switzerland","20132","CH","City",Active
"1002977","Noreaz","Noreaz,Fribourg,Switzerland","20132","CH","City",Active
"1002978","Payerne","Payerne,Vaud,Switzerland","20148","CH","City",Active
"1002979","Tentlingen","Tentlingen,Fribourg,Switzerland","20132","CH","City",Active
"1002980","Villars-sur-Glane","Villars-sur-Glane,Fribourg,Switzerland","20132","CH","City",Active
"1002982","Bellevue","Bellevue,Geneva,Switzerland","20133","CH","City",Active
"1002983","Carouge","Carouge,Geneva,Switzerland","20133","CH","City",Active
"1002984","Pregny-Chambesy","Pregny-Chambesy,Geneva,Switzerland","20133","CH","City",Active
"1002986","Chene-Bougeries","Chene-Bougeries,Geneva,Switzerland","20133","CH","City",Active
"1002987","Chene-Bourg","Chene-Bourg,Geneva,Switzerland","20133","CH","City",Active
"1002989","Collonge-Bellerive","Collonge-Bellerive,Geneva,Switzerland","20133","CH","City",Active
"1002990","Cologny","Cologny,Geneva,Switzerland","20133","CH","City",Active
"1002992","Geneva","Geneva,Geneva,Switzerland","20133","CH","City",Active
"1002993","Grand-Saconnex","Grand-Saconnex,Geneva,Switzerland","20133","CH","City",Active
"1002995","Jussy","Jussy,Geneva,Switzerland","20133","CH","City",Active
"1002996","Lancy","Lancy,Geneva,Switzerland","20133","CH","City",Active
"1002998","Meyrin","Meyrin,Geneva,Switzerland","20133","CH","City",Active
"1002999","Perly","Perly,Geneva,Switzerland","20133","CH","City",Active
"1003001","Plan-les-Ouates","Plan-les-Ouates,Geneva,Switzerland","20133","CH","City",Active
"1003002","Presinge","Presinge,Geneva,Switzerland","20133","CH","City",Active
"1003003","Thonex","Thonex,Geneva,Switzerland","20133","CH","City",Active
"1003004","Vernier","Vernier,Geneva,Switzerland","20133","CH","City",Active
"1003005","Versoix","Versoix,Geneva,Switzerland","20133","CH","City",Active
"1003007","Veyrier","Veyrier,Geneva,Switzerland","20133","CH","City",Active
"1003008","Bilten","Bilten,Glarus,Switzerland","20134","CH","City",Active
"1003009","Ennenda","Ennenda,Glarus,Switzerland","20134","CH","City",Active
"1003010","Glarus","Glarus,Glarus,Switzerland","20134","CH","City",Active
"1003011","Mitlodi","Mitlodi,Glarus,Switzerland","20134","CH","Neighborhood",Active
"1003012","Mollis","Mollis,Glarus,Switzerland","20134","CH","City",Active
"1003013","Nafels","Nafels,Glarus,Switzerland","20134","CH","City",Active
"1003014","Oberurnen","Oberurnen,Glarus,Switzerland","20134","CH","City",Active
"1003015","Obstalden","Obstalden,Glarus,Switzerland","20134","CH","City",Active
"1003016","Arosa","Arosa,Grisons,Switzerland","20135","CH","City",Active
"1003017","Bonaduz","Bonaduz,Grisons,Switzerland","20135","CH","City",Active
"1003018","Chur","Chur,Grisons,Switzerland","20135","CH","City",Active
"1003019","Davos","Davos,Grisons,Switzerland","20135","CH","City",Active
"1003022","Domat/Ems","Domat/Ems,Grisons,Switzerland","20135","CH","City",Active
"1003023","Flims","Flims,Grisons,Switzerland","20135","CH","City",Active
"1003024","Ilanz","Ilanz,Grisons,Switzerland","20135","CH","City",Active
"1003025","Klosters-Serneus","Klosters-Serneus,Grisons,Switzerland","20135","CH","City",Active
"1003026","Laax","Laax,Grisons,Switzerland","20135","CH","City",Active
"1003028","Samedan","Samedan,Grisons,Switzerland","20135","CH","City",Active
"1003030","Scuol","Scuol,Grisons,Switzerland","20135","CH","City",Active
"1003031","Saint Moritz","Saint Moritz,Grisons,Switzerland","20135","CH","City",Active
"1003032","Thusis","Thusis,Grisons,Switzerland","20135","CH","City",Active
"1003033","Zizers","Zizers,Grisons,Switzerland","20135","CH","City",Active
"1003034","Zuoz","Zuoz,Grisons,Switzerland","20135","CH","City",Active
"1003036","Delemont","Delemont,Jura,Switzerland","20136","CH","City",Active
"1003037","Le Noirmont","Le Noirmont,Jura,Switzerland","20136","CH","City",Active
"1003038","Porrentruy","Porrentruy,Jura,Switzerland","20136","CH","City",Active
"1003039","Rossemaison","Rossemaison,Jura,Switzerland","20136","CH","City",Active
"1003040","Saignelegier","Saignelegier,Jura,Switzerland","20136","CH","City",Active
"1003041","Adligenswil","Adligenswil,Lucerne,Switzerland","20137","CH","City",Active
"1003042","Altishofen","Altishofen,Lucerne,Switzerland","20137","CH","City",Active
"1003043","Ballwil","Ballwil,Lucerne,Switzerland","20137","CH","City",Active
"1003044","Ebikon","Ebikon,Lucerne,Switzerland","20137","CH","City",Active
"1003045","Emmen","Emmen,Lucerne,Switzerland","20137","CH","City",Active
"1003047","Entlebuch","Entlebuch,Lucerne,Switzerland","20137","CH","City",Active
"1003048","Gisikon","Gisikon,Lucerne,Switzerland","20137","CH","City",Active
"1003049","Grosswangen","Grosswangen,Lucerne,Switzerland","20137","CH","City",Active
"1003050","Hergiswil","Hergiswil,Nidwalden,Switzerland","20139","CH","City",Active
"1003051","Hitzkirch","Hitzkirch,Lucerne,Switzerland","20137","CH","City",Active
"1003052","Hochdorf","Hochdorf,Lucerne,Switzerland","20137","CH","City",Active
"1003054","Kriens","Kriens,Lucerne,Switzerland","20137","CH","City",Active
"1003055","Littau","Littau,Lucerne,Switzerland","20137","CH","City",Active
"1003056","Lucerne","Lucerne,Lucerne,Switzerland","20137","CH","City",Active
"1003057","Malters","Malters,Lucerne,Switzerland","20137","CH","City",Active
"1003058","Marbach","Marbach,Lucerne,Switzerland","20137","CH","City",Active
"1003059","Meggen","Meggen,Lucerne,Switzerland","20137","CH","City",Active
"1003060","Menznau","Menznau,Lucerne,Switzerland","20137","CH","City",Active
"1003061","Nottwil","Nottwil,Lucerne,Switzerland","20137","CH","City",Active
"1003062","Reiden","Reiden,Lucerne,Switzerland","20137","CH","City",Active
"1003063","Rickenbach","Rickenbach,Lucerne,Switzerland","20137","CH","City",Active
"1003064","Root","Root,Lucerne,Switzerland","20137","CH","City",Active
"1003065","Rothenburg","Rothenburg,Lucerne,Switzerland","20137","CH","City",Active
"1003066","Ruswil","Ruswil,Lucerne,Switzerland","20137","CH","City",Active
"1003069","Schupfheim","Schupfheim,Lucerne,Switzerland","20137","CH","City",Active
"1003070","Sempach","Sempach,Lucerne,Switzerland","20137","CH","City",Active
"1003071","Sursee","Sursee,Lucerne,Switzerland","20137","CH","City",Active
"1003072","Triengen","Triengen,Lucerne,Switzerland","20137","CH","City",Active
"1003073","Willisau","Willisau,Lucerne,Switzerland","20137","CH","City",Active
"1003074","Wolhusen","Wolhusen,Lucerne,Switzerland","20137","CH","City",Active
"1003075","Bevaix","Bevaix,Neuchatel,Switzerland","20138","CH","City",Active
"1003076","Colombier","Colombier,Neuchatel,Switzerland","20138","CH","City",Active
"1003078","Cortaillod","Cortaillod,Neuchatel,Switzerland","20138","CH","City",Active
"1003079","Couvet","Couvet,Neuchatel,Switzerland","20138","CH","City",Active
"1003080","Cressier","Cressier,Neuchatel,Switzerland","20138","CH","City",Active
"1003082","La Chaux-de-Fonds","La Chaux-de-Fonds,Neuchatel,Switzerland","20138","CH","City",Active
"1003083","La Neuveville","La Neuveville,Canton of Bern,Switzerland","20129","CH","City",Active
"1003084","Le Locle","Le Locle,Neuchatel,Switzerland","20138","CH","City",Active
"1003085","Les Brenets","Les Brenets,Neuchatel,Switzerland","20138","CH","City",Active
"1003086","Les Geneveys-sur-Coffrane","Les Geneveys-sur-Coffrane,Neuchatel,Switzerland","20138","CH","City",Active
"1003088","Neuchatel","Neuchatel,Neuchatel,Switzerland","20138","CH","City",Active
"1003089","Saint-Blaise","Saint-Blaise,Neuchatel,Switzerland","20138","CH","City",Active
"1003090","Buochs","Buochs,Nidwalden,Switzerland","20139","CH","City",Active
"1003091","Ennetburgen","Ennetburgen,Nidwalden,Switzerland","20139","CH","City",Active
"1003092","Stans","Stans,Nidwalden,Switzerland","20139","CH","City",Active
"1003094","Stansstad","Stansstad,Nidwalden,Switzerland","20139","CH","City",Active
"1003095","Engelberg","Engelberg,Obwalden,Switzerland","20140","CH","City",Active
"1003096","Kerns","Kerns,Obwalden,Switzerland","20140","CH","City",Active
"1003097","Au","Au,St. Gallen,Switzerland","20141","CH","City",Active
"1003098","Buchs","Buchs,St. Gallen,Switzerland","20141","CH","City",Active
"1003099","Flawil","Flawil,St. Gallen,Switzerland","20141","CH","City",Active
"1003100","Gams","Gams,St. Gallen,Switzerland","20141","CH","City",Active
"1003101","Gossau","Gossau,St. Gallen,Switzerland","20141","CH","City",Active
"1003104","Lichtensteig","Lichtensteig,St. Gallen,Switzerland","20141","CH","City",Active
"1003105","Mels","Mels,St. Gallen,Switzerland","20141","CH","City",Active
"1003106","Nesslau-Krummenau","Nesslau-Krummenau,St. Gallen,Switzerland","20141","CH","City",Active
"1003107","Oberriet","Oberriet,St. Gallen,Switzerland","20141","CH","City",Active
"1003109","Rorschach","Rorschach,St. Gallen,Switzerland","20141","CH","City",Active
"1003110","Sargans","Sargans,St. Gallen,Switzerland","20141","CH","City",Active
"1003111","Schwerzenbach","Schwerzenbach,Zurich,Switzerland","20151","CH","City",Active
"1003112","Sennwald","Sennwald,St. Gallen,Switzerland","20141","CH","City",Active
"1003113","St. Gallen","St. Gallen,St. Gallen,Switzerland","20141","CH","City",Active
"1003114","Uznach","Uznach,St. Gallen,Switzerland","20141","CH","City",Active
"1003115","Wattwil","Wattwil,St. Gallen,Switzerland","20141","CH","City",Active
"1003116","Wil","Wil,St. Gallen,Switzerland","20141","CH","City",Active
"1003117","Beringen","Beringen,Schaffhausen,Switzerland","20142","CH","City",Active
"1003119","Ramsen","Ramsen,Schaffhausen,Switzerland","20142","CH","City",Active
"1003120","Schaffhausen","Schaffhausen,Schaffhausen,Switzerland","20142","CH","City",Active
"1003121","Thayngen","Thayngen,Schaffhausen,Switzerland","20142","CH","City",Active
"1003122","Balsthal","Balsthal,Solothurn,Switzerland","20143","CH","City",Active
"1003123","Battwil","Battwil,Solothurn,Switzerland","20143","CH","City",Active
"1003124","Bellach","Bellach,Solothurn,Switzerland","20143","CH","City",Active
"1003125","Bettlach","Bettlach,Solothurn,Switzerland","20143","CH","City",Active
"1003126","Biberist","Biberist,Solothurn,Switzerland","20143","CH","City",Active
"1003127","Breitenbach","Breitenbach,Solothurn,Switzerland","20143","CH","City",Active
"1003128","Daniken","Daniken,Solothurn,Switzerland","20143","CH","City",Active
"1003129","Dornach","Dornach,Solothurn,Switzerland","20143","CH","City",Active
"1003130","Dulliken","Dulliken,Solothurn,Switzerland","20143","CH","City",Active
"1003131","Egerkingen","Egerkingen,Solothurn,Switzerland","20143","CH","City",Active
"1003132","Grenchen","Grenchen,Solothurn,Switzerland","20143","CH","City",Active
"1003133","Gretzenbach","Gretzenbach,Solothurn,Switzerland","20143","CH","City",Active
"1003134","Hagendorf","Hagendorf,Solothurn,Switzerland","20143","CH","City",Active
"1003135","Kleinlutzel","Kleinlutzel,Solothurn,Switzerland","20143","CH","City",Active
"1003136","Lengnau","Lengnau,Canton of Bern,Switzerland","20129","CH","City",Active
"1003137","Oberbuchsiten","Oberbuchsiten,Solothurn,Switzerland","20143","CH","City",Active
"1003138","Oberdorf","Oberdorf,Solothurn,Switzerland","20143","CH","City",Active
"1003139","Oensingen","Oensingen,Solothurn,Switzerland","20143","CH","City",Active
"1003140","Schonenwerd","Schonenwerd,Solothurn,Switzerland","20143","CH","City",Active
"1003141","Solothurn","Solothurn,Solothurn,Switzerland","20143","CH","City",Active
"1003142","Zuchwil","Zuchwil,Solothurn,Switzerland","20143","CH","City",Active
"1003143","Einsiedeln","Einsiedeln,Schwyz,Switzerland","20144","CH","City",Active
"1003144","Freienbach","Freienbach,Schwyz,Switzerland","20144","CH","City",Active
"1003145","Galgenen","Galgenen,Schwyz,Switzerland","20144","CH","City",Active
"1003146","Gersau","Gersau,Schwyz,Switzerland","20144","CH","City",Active
"1003148","Kussnacht","Kussnacht,Schwyz,Switzerland","20144","CH","City",Active
"1003149","Schwyz","Schwyz,Schwyz,Switzerland","20144","CH","City",Active
"1003151","Wollerau","Wollerau,Schwyz,Switzerland","20144","CH","City",Active
"1003152","Amriswil","Amriswil,Thurgau,Switzerland","20145","CH","City",Active
"1003153","Arbon","Arbon,Thurgau,Switzerland","20145","CH","City",Active
"1003154","Bischofszell","Bischofszell,Thurgau,Switzerland","20145","CH","City",Active
"1003155","Frauenfeld","Frauenfeld,Thurgau,Switzerland","20145","CH","City",Active
"1003156","Gottlieben","Gottlieben,Thurgau,Switzerland","20145","CH","City",Active
"1003157","Gachnang","Gachnang,Thurgau,Switzerland","20145","CH","City",Active
"1003158","Matzingen","Matzingen,Thurgau,Switzerland","20145","CH","City",Active
"1003159","Pfyn","Pfyn,Thurgau,Switzerland","20145","CH","City",Active
"1003160","Roggwil","Roggwil,Thurgau,Switzerland","20145","CH","City",Active
"1003161","Romanshorn","Romanshorn,Thurgau,Switzerland","20145","CH","City",Active
"1003162","Sirnach","Sirnach,Thurgau,Switzerland","20145","CH","City",Active
"1003163","Steckborn","Steckborn,Thurgau,Switzerland","20145","CH","City",Active
"1003164","Wangi","Wangi,Thurgau,Switzerland","20145","CH","City",Active
"1003165","Weinfelden","Weinfelden,Thurgau,Switzerland","20145","CH","City",Active
"1003166","Agno","Agno,Ticino,Switzerland","20146","CH","City",Active
"1003167","Ascona","Ascona,Ticino,Switzerland","20146","CH","City",Active
"1003168","Balerna","Balerna,Ticino,Switzerland","20146","CH","City",Active
"1003169","Bellinzona","Bellinzona,Ticino,Switzerland","20146","CH","City",Active
"1003170","Chiasso","Chiasso,Ticino,Switzerland","20146","CH","City",Active
"1003171","Giubiasco","Giubiasco,Ticino,Switzerland","20146","CH","City",Active
"1003172","Ligornetto","Ligornetto,Ticino,Switzerland","20146","CH","City",Active
"1003173","Losone","Losone,Ticino,Switzerland","20146","CH","City",Active
"1003174","Lugano","Lugano,Ticino,Switzerland","20146","CH","City",Active
"1003175","Manno","Manno,Ticino,Switzerland","20146","CH","City",Active
"1003176","Melide","Melide,Ticino,Switzerland","20146","CH","City",Active
"1003177","Mendrisio","Mendrisio,Ticino,Switzerland","20146","CH","City",Active
"1003178","Muralto","Muralto,Ticino,Switzerland","20146","CH","City",Active
"1003181","Aigle","Aigle,Vaud,Switzerland","20148","CH","City",Active
"1003182","Aubonne","Aubonne,Vaud,Switzerland","20148","CH","City",Active
"1003183","Bex","Bex,Vaud,Switzerland","20148","CH","City",Active
"1003184","Bursins","Bursins,Vaud,Switzerland","20148","CH","City",Active
"1003185","Chateau-d'Oex","Chateau-d'Oex,Vaud,Switzerland","20148","CH","City",Active
"1003186","Chavannes-de-Bogis","Chavannes-de-Bogis,Vaud,Switzerland","20148","CH","City",Active
"1003187","Coppet","Coppet,Vaud,Switzerland","20148","CH","City",Active
"1003188","Cossonay","Cossonay,Vaud,Switzerland","20148","CH","City",Active
"1003189","Crissier","Crissier,Vaud,Switzerland","20148","CH","City",Active
"1003190","Denens","Denens,Vaud,Switzerland","20148","CH","City",Active
"1003191","Ecublens","Ecublens,Vaud,Switzerland","20148","CH","City",Active
"1003192","Epalinges","Epalinges,Vaud,Switzerland","20148","CH","City",Active
"1003193","Founex","Founex,Vaud,Switzerland","20148","CH","City",Active
"1003194","Gland","Gland,Vaud,Switzerland","20148","CH","City",Active
